,STATION_ID,AVG_TRAINS
0,MSTN_001,3.4
1,MSTN_002,6.340909090909091
2,MSTN_003,5.318181818181818
3,MSTN_004,5.311111111111111
4,MSTN_005,8.186046511627907
5,MSTN_006,5.666666666666667
6,MSTN_007,6.2272727272727275
7,MSTN_008,3.311111111111111
8,MSTN_009,2.953488372093023
9,MSTN_010,5.558139534883721
10,MSTN_011,8.0
11,MSTN_012,5.511627906976744
12,MSTN_013,8.022727272727273
13,MSTN_014,8.13953488372093
14,MSTN_015,7.574468085106383
15,MSTN_016,8.0
16,MSTN_017,5.820224719101123
17,MSTN_018,5.666666666666667
18,MSTN_019,5.954022988505747
19,MSTN_020,6.295454545454546
20,MSTN_021,5.511627906976744
21,MSTN_022,7.2272727272727275
22,MSTN_023,7.695652173913044
23,MSTN_024,6.662921348314606
24,MSTN_025,2.9302325581395348
25,MSTN_026,6.409090909090909
26,MSTN_027,3.522727272727273
27,MSTN_028,5.454545454545454
28,MSTN_029,8.022727272727273
29,MSTN_030,5.333333333333333
30,MSTN_031,6.088888888888889
31,MSTN_032,7.6521739130434785
32,MSTN_033,8.022727272727273
33,MSTN_034,5.355555555555555
34,MSTN_035,5.714285714285714
35,MSTN_036,6.111111111111111
36,MSTN_037,5.558139534883721
37,MSTN_038,5.690476190476191
38,MSTN_039,3.5454545454545454
39,MSTN_040,5.714285714285714
40,MSTN_041,5.511627906976744
41,MSTN_042,5.690476190476191
42,MSTN_043,5.761904761904762
43,MSTN_044,5.431818181818182
44,MSTN_045,5.714285714285714
45,MSTN_046,5.195652173913044
46,MSTN_047,5.690476190476191
47,MSTN_048,5.239130434782608
48,MSTN_049,6.086956521739131
49,MSTN_050,5.595238095238095
50,MSTN_051,5.217391304347826
51,MSTN_052,5.642857142857143
52,MSTN_053,6.108695652173913
53,MSTN_054,6.441860465116279
54,MSTN_055,6.465116279069767
55,MSTN_056,2.8372093023255816
56,MSTN_057,2.9069767441860463
57,MSTN_058,2.9302325581395348
58,MSTN_059,2.9047619047619047
59,MSTN_060,8.0
60,MSTN_061,5.4186046511627906
61,MSTN_062,5.340909090909091
62,MSTN_063,5.4186046511627906
63,MSTN_064,5.604651162790698
64,MSTN_065,2.9047619047619047
65,MSTN_066,5.372093023255814
66,MSTN_067,2.9047619047619047
67,MSTN_068,5.465116279069767
68,MSTN_069,2.883720930232558
69,MSTN_070,6.190476190476191
70,MSTN_071,6.166666666666667
71,MSTN_072,6.095238095238095
72,MSTN_073,6.0476190476190474
73,MSTN_074,3.441860465116279
74,MSTN_075,3.3636363636363638
75,MSTN_076,3.511627906976744
76,MSTN_077,3.2888888888888888
77,MSTN_078,6.0
78,MSTN_079,5.976744186046512
79,MSTN_080,3.0869565217391304
80,MSTN_081,2.7777777777777777
81,MSTN_082,3.152173913043478
82,MSTN_083,2.6739130434782608
83,MSTN_084,5.340909090909091
84,MSTN_085,5.311111111111111
85,MSTN_086,5.386363636363637
86,MSTN_087,2.8863636363636362
87,MSTN_088,2.8
88,MSTN_089,2.7555555555555555
89,MSTN_090,2.7555555555555555
90,MSTN_091,2.717391304347826
91,MSTN_098,6.0476190476190474
