Name_1,HH_below_50k
ADDISON ROAD-SEAT PLEASANT,922.4
ANACOSTIA,2932.3
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,548.4
ARLINGTON CEMETERY,0.0
Ashburn,193.1
BALLSTON-MU,933.3000000000001
BENNING ROAD,2995.5
BETHESDA,1431.2
BRADDOCK ROAD,939.1
BRANCH AVE,119.6
BROOKLAND-CUA,1303.8
CAPITOL HEIGHTS,2597.1
CAPITOL SOUTH,1035.8
CHEVERLY,558.4
CLARENDON,940.4
CLEVELAND PARK,483.9
COLLEGE PARK-U OF MD,1538.1
COLUMBIA HEIGHTS,1683.0
CONGRESS HEIGHTS,2105.0
COURT HOUSE,1158.2
CRYSTAL CITY,525.3
DEANWOOD,2639.0
DUNN LORING-MERRIFIELD,417.7
DUPONT CIRCLE,2321.2
EAST FALLS CHURCH,398.8
EASTERN MARKET,1365.9
EISENHOWER AVENUE,479.20000000000005
FARRAGUT NORTH,1991.1000000000001
FARRAGUT WEST,2482.0
FEDERAL CENTER SW,1086.6
FEDERAL TRIANGLE,460.1
FOGGY BOTTOM-GWU,2546.1
FOREST GLEN,1063.4
FORT TOTTEN,1123.6
FRANCONIA-SPRINGFIELD,270.40000000000003
FRIENDSHIP HEIGHTS,1578.4
GALLERY PL-CHINATOWN,1361.6000000000001
GEORGIA AVE-PETWORTH,1545.3999999999999
GLENMONT,911.0999999999999
GREENBELT,642.2
GREENSBORO,208.0
GROSVENOR-STRATHMORE,461.2
HUNTINGTON,857.5
Herndon,225.5
Innovation Center,368.1
JUDICIARY SQUARE,870.5
KING ST-OLD TOWN,1230.3
L'ENFANT PLAZA,1465.6999999999998
LANDOVER,256.2
LARGO TOWN CENTER,302.1
Loudoun Gateway,39.599999999999994
MCLEAN,300.8
MCPHERSON SQUARE,1663.7
MEDICAL CENTER,435.0
METRO CENTER,1153.1000000000001
MINNESOTA AVE,3473.0
MORGAN BOULEVARD,391.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,2092.9
NAVY YARD-BALLPARK,1453.8
NAYLOR ROAD,1008.2
NEW CARROLLTON,724.2
NOMA-GALLAUDET,2067.2
PENTAGON,99.4
PENTAGON CITY,534.6
POTOMAC AVE,1427.1000000000001
PRINCE GEORGE'S PLAZA,1612.4
RHODE ISLAND AVE-BRENTWOOD,1435.9
ROCKVILLE,2242.6
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,2.7
ROSSLYN,611.6
Reston Town Center,538.9000000000001
SHADY GROVE,597.8
SHAW-HOWARD U,3055.6
SILVER SPRING,1870.9
SMITHSONIAN,756.3
SOUTHERN AVENUE,371.4
SPRING HILL,174.29999999999998
STADIUM-ARMORY,767.5
SUITLAND,741.1
TAKOMA,1730.1
TENLEYTOWN-AU,1353.8999999999999
TWINBROOK,1499.0
TYSONS CORNER,145.6
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,1909.8999999999999
UNION STATION,1022.0
VAN DORN STREET,89.3
VAN NESS-UDC,629.4
VIENNA/FAIRFAX-GMU,638.0
VIRGINIA SQUARE-GMU,866.3
WATERFRONT,1137.0
WEST FALLS CHURCH-VT/UVA,258.40000000000003
WEST HYATTSVILLE,1317.5
WHEATON,1324.5
WHITE FLINT,731.4000000000001
WIEHLE-RESTON EAST,266.3
WOODLEY PARK-ZOO/ADAMS MORGAN,712.1999999999999
Washington Dulles International Airport,0.0
