,Name_1,entertainmentcount_p75
0,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,14
1,BALLSTON-MU,1
2,BENNING ROAD,1
3,BETHESDA,4
4,BRADDOCK ROAD,1
5,BROOKLAND-CUA,6
6,CAPITOL SOUTH,2
7,CLEVELAND PARK,3
8,COLUMBIA HEIGHTS,10
9,CRYSTAL CITY,2
10,DUNN LORING-MERRIFIELD,1
11,DUPONT CIRCLE,18
12,EASTERN MARKET,2
13,FARRAGUT NORTH,23
14,FARRAGUT WEST,21
15,FEDERAL CENTER SW,5
16,FEDERAL TRIANGLE,19
17,FOGGY BOTTOM-GWU,16
18,FORT TOTTEN,1
19,FRIENDSHIP HEIGHTS,1
20,GALLERY PL-CHINATOWN,19
21,GEORGIA AVE-PETWORTH,7
22,GREENSBORO,2
23,GROSVENOR-STRATHMORE,2
24,Herndon,2
25,JUDICIARY SQUARE,13
26,KING ST-OLD TOWN,1
27,L'ENFANT PLAZA,9
28,MCLEAN,1
29,MCPHERSON SQUARE,29
30,MEDICAL CENTER,1
31,METRO CENTER,21
32,MINNESOTA AVE,2
33,MT VERNON SQ 7TH ST-CONVENTION CENTER,18
34,NAYLOR ROAD,1
35,NOMA-GALLAUDET,2
36,PENTAGON CITY,2
37,POTOMAC AVE,1
38,RHODE ISLAND AVE-BRENTWOOD,1
39,ROCKVILLE,1
40,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,2
41,ROSSLYN,3
42,Reston Town Center,3
43,SHAW-HOWARD U,13
44,SILVER SPRING,4
45,SMITHSONIAN,15
46,SPRING HILL,2
47,TAKOMA,2
48,TENLEYTOWN-AU,3
49,TWINBROOK,1
50,TYSONS CORNER,2
51,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,14
52,UNION STATION,3
53,VAN DORN STREET,1
54,VAN NESS-UDC,3
55,VIRGINIA SQUARE-GMU,1
56,WATERFRONT,4
57,WHEATON,3
58,WHITE FLINT,1
59,WOODLEY PARK-ZOO/ADAMS MORGAN,5
