,Name_1,hotelcount_p75
0,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,14
1,BETHESDA,1
2,CAPITOL SOUTH,9
3,COLLEGE PARK-U OF MD,1
4,COLUMBIA HEIGHTS,2
5,DUPONT CIRCLE,47
6,EASTERN MARKET,6
7,FARRAGUT NORTH,49
8,FARRAGUT WEST,46
9,FEDERAL CENTER SW,6
10,FEDERAL TRIANGLE,17
11,FOGGY BOTTOM-GWU,32
12,FRIENDSHIP HEIGHTS,2
13,GALLERY PL-CHINATOWN,20
14,GEORGIA AVE-PETWORTH,1
15,GREENSBORO,2
16,JUDICIARY SQUARE,9
17,L'ENFANT PLAZA,7
18,LARGO TOWN CENTER,1
19,MCLEAN,1
20,MCPHERSON SQUARE,33
21,MEDICAL CENTER,2
22,METRO CENTER,25
23,MT VERNON SQ 7TH ST-CONVENTION CENTER,24
24,NAVY YARD-BALLPARK,5
25,NAYLOR ROAD,1
26,NOMA-GALLAUDET,4
27,POTOMAC AVE,2
28,RHODE ISLAND AVE-BRENTWOOD,2
29,ROCKVILLE,1
30,SHADY GROVE,1
31,SHAW-HOWARD U,13
32,SILVER SPRING,4
33,SMITHSONIAN,10
34,SPRING HILL,1
35,STADIUM-ARMORY,1
36,TAKOMA,1
37,TWINBROOK,2
38,TYSONS CORNER,3
39,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,11
40,UNION STATION,6
41,WATERFRONT,8
42,WHITE FLINT,2
43,WOODLEY PARK-ZOO/ADAMS MORGAN,9
