Name_1,proportional_street_density_p5
ADDISON ROAD-SEAT PLEASANT,87.7824865390975
ANACOSTIA,71.77576707594024
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,170.83242579109827
ARLINGTON CEMETERY,54.50976396188761
Ashburn,5.291906190666471
BALLSTON-MU,1439.7397135024082
BENNING ROAD,670.6880260901243
BETHESDA,573.288938049771
BRADDOCK ROAD,1063.593197308695
BRANCH AVE,14.523606168696183
BROOKLAND-CUA,423.5627219422486
CAPITOL HEIGHTS,633.4513926150622
CAPITOL SOUTH,208.5982651900323
CHEVERLY,32.66943220033037
CLARENDON,1282.7722360619637
CLEVELAND PARK,268.2979311293772
COLLEGE PARK-U OF MD,133.39135087296083
COLUMBIA HEIGHTS,2303.655698509816
CONGRESS HEIGHTS,280.0174634162568
COURT HOUSE,1224.0288557210847
CRYSTAL CITY,289.1861758796469
DEANWOOD,192.83464408432476
DUNN LORING-MERRIFIELD,99.77858990770355
DUPONT CIRCLE,2045.0406281044818
EAST FALLS CHURCH,261.2542613557526
EASTERN MARKET,368.0260154432673
EISENHOWER AVENUE,60.551595470626005
FARRAGUT NORTH,410.0056296240496
FARRAGUT WEST,344.0046239949262
FEDERAL CENTER SW,132.87379333117545
FEDERAL TRIANGLE,122.58063677461274
FOGGY BOTTOM-GWU,320.95281038452663
FOREST GLEN,240.58410394652424
FORT TOTTEN,402.74951123158235
FRANCONIA-SPRINGFIELD,59.72452849437163
FRIENDSHIP HEIGHTS,1071.362583783147
GALLERY PL-CHINATOWN,319.90026919918625
GEORGIA AVE-PETWORTH,848.6287928644255
GLENMONT,328.7781037969415
GREENBELT,21.149250820165626
GREENSBORO,74.50244180944813
GROSVENOR-STRATHMORE,268.7995699659614
HUNTINGTON,287.75480850972775
Herndon,107.99458633002322
Innovation Center,28.01421365861693
JUDICIARY SQUARE,179.13808425733183
KING ST-OLD TOWN,541.9724915190177
L'ENFANT PLAZA,166.2862882864305
LANDOVER,13.370570178319635
LARGO TOWN CENTER,26.509013153333044
Loudoun Gateway,0.11966651148175343
MCLEAN,59.95678014523274
MCPHERSON SQUARE,342.87004766720185
MEDICAL CENTER,241.92299795548217
METRO CENTER,321.26774358295984
MINNESOTA AVE,368.4171638195828
MORGAN BOULEVARD,53.42869953997447
MT VERNON SQ 7TH ST-CONVENTION CENTER,1276.6590484267365
NAVY YARD-BALLPARK,725.2525683894552
NAYLOR ROAD,143.50281255978857
NEW CARROLLTON,82.64263742240185
NOMA-GALLAUDET,591.8715494667148
PENTAGON,83.6028038460332
PENTAGON CITY,331.0240307460981
POTOMAC AVE,357.09461857835186
PRINCE GEORGE'S PLAZA,158.85175319571724
RHODE ISLAND AVE-BRENTWOOD,247.06869050987441
ROCKVILLE,347.7124350920847
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,16.724354860375303
ROSSLYN,375.2014926869425
Reston Town Center,146.2315904651919
SHADY GROVE,41.96987875169915
SHAW-HOWARD U,1694.4533758642121
SILVER SPRING,865.9145100193479
SMITHSONIAN,121.71815161067757
SOUTHERN AVENUE,152.05472381916286
SPRING HILL,48.85044678188089
STADIUM-ARMORY,731.0553793237859
SUITLAND,27.896648290155998
TAKOMA,914.0911787020106
TENLEYTOWN-AU,516.9023144996685
TWINBROOK,316.0772149408723
TYSONS CORNER,49.778017223570714
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,1893.0245936495235
UNION STATION,227.10916655563196
VAN DORN STREET,15.966222462600173
VAN NESS-UDC,222.47095330166403
VIENNA/FAIRFAX-GMU,186.82212290350853
VIRGINIA SQUARE-GMU,1333.4368586428427
WATERFRONT,442.8362638583975
WEST FALLS CHURCH-VT/UVA,51.84502808842177
WEST HYATTSVILLE,269.51159668349146
WHEATON,270.19422149219434
WHITE FLINT,179.18550383782895
WIEHLE-RESTON EAST,31.639675910723795
WOODLEY PARK-ZOO/ADAMS MORGAN,676.3217780530744
Washington Dulles International Airport,0.10117446153689261
