Name_1,Num_of_Household_with_1_Car_p75
ADDISON ROAD-SEAT PLEASANT,143.0
ANACOSTIA,49.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,15.0
ARLINGTON CEMETERY,113.0
Ashburn,33.5
BALLSTON-MU,59.0
BENNING ROAD,86.0
BETHESDA,85.0
BRADDOCK ROAD,102.0
BRANCH AVE,87.5
BROOKLAND-CUA,86.0
CAPITOL HEIGHTS,130.0
CAPITOL SOUTH,75.5
CHEVERLY,130.0
CLARENDON,72.0
CLEVELAND PARK,140.0
COLLEGE PARK-U OF MD,115.0
COLUMBIA HEIGHTS,112.5
CONGRESS HEIGHTS,77.5
COURT HOUSE,68.0
CRYSTAL CITY,0.0
DEANWOOD,108.5
DUNN LORING-MERRIFIELD,79.0
DUPONT CIRCLE,87.5
EAST FALLS CHURCH,105.0
EASTERN MARKET,118.0
EISENHOWER AVENUE,137.0
FARRAGUT NORTH,75.0
FARRAGUT WEST,69.0
FEDERAL CENTER SW,34.0
FEDERAL TRIANGLE,2.5
FOGGY BOTTOM-GWU,75.0
FOREST GLEN,103.0
FORT TOTTEN,113.0
FRANCONIA-SPRINGFIELD,105.5
FRIENDSHIP HEIGHTS,130.0
GALLERY PL-CHINATOWN,73.0
GEORGIA AVE-PETWORTH,117.0
GLENMONT,53.0
GREENBELT,65.0
GREENSBORO,74.0
GROSVENOR-STRATHMORE,101.0
HUNTINGTON,71.5
Herndon,62.5
Innovation Center,2.0
JUDICIARY SQUARE,33.0
KING ST-OLD TOWN,103.0
L'ENFANT PLAZA,29.0
LANDOVER,80.0
LARGO TOWN CENTER,189.0
Loudoun Gateway,51.5
MCLEAN,76.5
MCPHERSON SQUARE,56.0
MEDICAL CENTER,65.5
METRO CENTER,63.0
MINNESOTA AVE,91.5
MORGAN BOULEVARD,131.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,82.5
NAVY YARD-BALLPARK,41.5
NAYLOR ROAD,69.0
NEW CARROLLTON,87.0
NOMA-GALLAUDET,115.0
PENTAGON,0.0
PENTAGON CITY,8.5
POTOMAC AVE,130.0
PRINCE GEORGE'S PLAZA,143.0
RHODE ISLAND AVE-BRENTWOOD,99.0
ROCKVILLE,121.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,0.0
ROSSLYN,65.0
Reston Town Center,97.0
SHADY GROVE,62.0
SHAW-HOWARD U,110.0
SILVER SPRING,83.0
SMITHSONIAN,0.0
SOUTHERN AVENUE,76.5
SPRING HILL,45.0
STADIUM-ARMORY,169.0
SUITLAND,50.0
TAKOMA,117.5
TENLEYTOWN-AU,126.5
TWINBROOK,77.0
TYSONS CORNER,70.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,106.0
UNION STATION,103.0
VAN DORN STREET,121.0
VAN NESS-UDC,117.5
VIENNA/FAIRFAX-GMU,119.5
VIRGINIA SQUARE-GMU,71.5
WATERFRONT,14.0
WEST FALLS CHURCH-VT/UVA,89.0
WEST HYATTSVILLE,29.0
WHEATON,90.5
WHITE FLINT,136.0
WIEHLE-RESTON EAST,84.0
WOODLEY PARK-ZOO/ADAMS MORGAN,128.0
Washington Dulles International Airport,0.0
