Name_1,Num_of_Household_with_More_than_One_Car_p75
ADDISON ROAD-SEAT PLEASANT,214.0
ANACOSTIA,15.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,0.0
ARLINGTON CEMETERY,26.5
Ashburn,225.0
BALLSTON-MU,98.0
BENNING ROAD,66.0
BETHESDA,106.0
BRADDOCK ROAD,136.0
BRANCH AVE,157.5
BROOKLAND-CUA,87.0
CAPITOL HEIGHTS,122.0
CAPITOL SOUTH,19.0
CHEVERLY,171.0
CLARENDON,58.0
CLEVELAND PARK,59.0
COLLEGE PARK-U OF MD,186.0
COLUMBIA HEIGHTS,43.0
CONGRESS HEIGHTS,35.0
COURT HOUSE,39.5
CRYSTAL CITY,0.0
DEANWOOD,96.5
DUNN LORING-MERRIFIELD,121.5
DUPONT CIRCLE,18.5
EAST FALLS CHURCH,247.0
EASTERN MARKET,48.0
EISENHOWER AVENUE,111.0
FARRAGUT NORTH,0.0
FARRAGUT WEST,0.0
FEDERAL CENTER SW,8.0
FEDERAL TRIANGLE,0.0
FOGGY BOTTOM-GWU,0.0
FOREST GLEN,206.0
FORT TOTTEN,116.0
FRANCONIA-SPRINGFIELD,298.5
FRIENDSHIP HEIGHTS,197.5
GALLERY PL-CHINATOWN,0.0
GEORGIA AVE-PETWORTH,76.0
GLENMONT,197.5
GREENBELT,167.0
GREENSBORO,73.5
GROSVENOR-STRATHMORE,171.0
HUNTINGTON,164.0
Herndon,236.0
Innovation Center,3.0
JUDICIARY SQUARE,0.0
KING ST-OLD TOWN,104.0
L'ENFANT PLAZA,0.0
LANDOVER,159.0
LARGO TOWN CENTER,137.0
Loudoun Gateway,176.5
MCLEAN,140.5
MCPHERSON SQUARE,0.0
MEDICAL CENTER,147.0
METRO CENTER,0.0
MINNESOTA AVE,53.5
MORGAN BOULEVARD,161.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,0.0
NAVY YARD-BALLPARK,8.5
NAYLOR ROAD,58.0
NEW CARROLLTON,197.0
NOMA-GALLAUDET,26.0
PENTAGON,0.0
PENTAGON CITY,3.0
POTOMAC AVE,55.5
PRINCE GEORGE'S PLAZA,199.0
RHODE ISLAND AVE-BRENTWOOD,77.0
ROCKVILLE,210.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,0.0
ROSSLYN,27.0
Reston Town Center,115.0
SHADY GROVE,169.0
SHAW-HOWARD U,23.0
SILVER SPRING,96.0
SMITHSONIAN,0.0
SOUTHERN AVENUE,37.5
SPRING HILL,122.0
STADIUM-ARMORY,55.0
SUITLAND,68.0
TAKOMA,133.0
TENLEYTOWN-AU,146.0
TWINBROOK,77.0
TYSONS CORNER,52.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,15.0
UNION STATION,21.0
VAN DORN STREET,113.0
VAN NESS-UDC,76.0
VIENNA/FAIRFAX-GMU,242.5
VIRGINIA SQUARE-GMU,63.5
WATERFRONT,8.0
WEST FALLS CHURCH-VT/UVA,304.0
WEST HYATTSVILLE,148.0
WHEATON,196.5
WHITE FLINT,172.0
WIEHLE-RESTON EAST,159.5
WOODLEY PARK-ZOO/ADAMS MORGAN,51.0
Washington Dulles International Airport,0.0
