Name_1,Num_of_Household_with_No_Car_p75
ADDISON ROAD-SEAT PLEASANT,16.0
ANACOSTIA,8.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,10.0
ARLINGTON CEMETERY,27.5
Ashburn,0.0
BALLSTON-MU,0.0
BENNING ROAD,16.5
BETHESDA,0.0
BRADDOCK ROAD,0.0
BRANCH AVE,14.0
BROOKLAND-CUA,18.0
CAPITOL HEIGHTS,20.0
CAPITOL SOUTH,14.5
CHEVERLY,7.0
CLARENDON,0.0
CLEVELAND PARK,21.0
COLLEGE PARK-U OF MD,11.5
COLUMBIA HEIGHTS,35.0
CONGRESS HEIGHTS,11.5
COURT HOUSE,0.0
CRYSTAL CITY,0.0
DEANWOOD,15.5
DUNN LORING-MERRIFIELD,0.0
DUPONT CIRCLE,60.0
EAST FALLS CHURCH,0.0
EASTERN MARKET,22.0
EISENHOWER AVENUE,7.0
FARRAGUT NORTH,59.0
FARRAGUT WEST,51.0
FEDERAL CENTER SW,12.0
FEDERAL TRIANGLE,0.0
FOGGY BOTTOM-GWU,59.0
FOREST GLEN,0.0
FORT TOTTEN,24.0
FRANCONIA-SPRINGFIELD,4.5
FRIENDSHIP HEIGHTS,11.5
GALLERY PL-CHINATOWN,21.0
GEORGIA AVE-PETWORTH,24.0
GLENMONT,0.0
GREENBELT,0.0
GREENSBORO,0.0
GROSVENOR-STRATHMORE,0.0
HUNTINGTON,3.5
Herndon,0.0
Innovation Center,0.0
JUDICIARY SQUARE,15.5
KING ST-OLD TOWN,0.0
L'ENFANT PLAZA,6.0
LANDOVER,8.0
LARGO TOWN CENTER,11.0
Loudoun Gateway,0.0
MCLEAN,3.5
MCPHERSON SQUARE,33.0
MEDICAL CENTER,0.0
METRO CENTER,24.5
MINNESOTA AVE,17.5
MORGAN BOULEVARD,2.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,29.5
NAVY YARD-BALLPARK,4.5
NAYLOR ROAD,9.0
NEW CARROLLTON,13.0
NOMA-GALLAUDET,12.0
PENTAGON,0.0
PENTAGON CITY,0.0
POTOMAC AVE,23.5
PRINCE GEORGE'S PLAZA,11.0
RHODE ISLAND AVE-BRENTWOOD,17.0
ROCKVILLE,5.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,0.0
ROSSLYN,0.0
Reston Town Center,0.0
SHADY GROVE,0.0
SHAW-HOWARD U,36.0
SILVER SPRING,0.0
SMITHSONIAN,0.0
SOUTHERN AVENUE,14.5
SPRING HILL,0.0
STADIUM-ARMORY,24.0
SUITLAND,0.0
TAKOMA,15.5
TENLEYTOWN-AU,7.5
TWINBROOK,14.0
TYSONS CORNER,0.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,44.0
UNION STATION,29.0
VAN DORN STREET,5.0
VAN NESS-UDC,9.5
VIENNA/FAIRFAX-GMU,9.5
VIRGINIA SQUARE-GMU,0.0
WATERFRONT,0.0
WEST FALLS CHURCH-VT/UVA,7.0
WEST HYATTSVILLE,8.0
WHEATON,12.5
WHITE FLINT,5.0
WIEHLE-RESTON EAST,0.0
WOODLEY PARK-ZOO/ADAMS MORGAN,35.0
Washington Dulles International Airport,0.0
