Name_1,Graduate_p5
ADDISON ROAD-SEAT PLEASANT,32.0
ANACOSTIA,
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,
ARLINGTON CEMETERY,
Ashburn,
BALLSTON-MU,
BENNING ROAD,
BETHESDA,50.0
BRADDOCK ROAD,
BRANCH AVE,217.0
BROOKLAND-CUA,
CAPITOL HEIGHTS,30.5
CAPITOL SOUTH,
CHEVERLY,69.5
CLARENDON,
CLEVELAND PARK,
COLLEGE PARK-U OF MD,230.5
COLUMBIA HEIGHTS,
CONGRESS HEIGHTS,
COURT HOUSE,
CRYSTAL CITY,
DEANWOOD,64.0
DUNN LORING-MERRIFIELD,
DUPONT CIRCLE,
EAST FALLS CHURCH,
EASTERN MARKET,
EISENHOWER AVENUE,
FARRAGUT NORTH,
FARRAGUT WEST,
FEDERAL CENTER SW,
FEDERAL TRIANGLE,
FOGGY BOTTOM-GWU,
FOREST GLEN,70.0
FORT TOTTEN,
FRANCONIA-SPRINGFIELD,
FRIENDSHIP HEIGHTS,47.0
GALLERY PL-CHINATOWN,
GEORGIA AVE-PETWORTH,
GLENMONT,81.0
GREENBELT,122.0
GREENSBORO,
GROSVENOR-STRATHMORE,80.0
HUNTINGTON,
Herndon,
Innovation Center,
JUDICIARY SQUARE,
KING ST-OLD TOWN,
L'ENFANT PLAZA,
LANDOVER,130.5
LARGO TOWN CENTER,251.0
Loudoun Gateway,
MCLEAN,
MCPHERSON SQUARE,
MEDICAL CENTER,98.0
METRO CENTER,
MINNESOTA AVE,
MORGAN BOULEVARD,172.5
MT VERNON SQ 7TH ST-CONVENTION CENTER,
NAVY YARD-BALLPARK,
NAYLOR ROAD,67.0
NEW CARROLLTON,133.0
NOMA-GALLAUDET,
PENTAGON,
PENTAGON CITY,
POTOMAC AVE,
PRINCE GEORGE'S PLAZA,92.0
RHODE ISLAND AVE-BRENTWOOD,
ROCKVILLE,119.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,
ROSSLYN,
Reston Town Center,
SHADY GROVE,129.0
SHAW-HOWARD U,
SILVER SPRING,113.0
SMITHSONIAN,
SOUTHERN AVENUE,193.0
SPRING HILL,
STADIUM-ARMORY,
SUITLAND,43.5
TAKOMA,39.0
TENLEYTOWN-AU,
TWINBROOK,188.0
TYSONS CORNER,
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,
UNION STATION,
VAN DORN STREET,
VAN NESS-UDC,
VIENNA/FAIRFAX-GMU,
VIRGINIA SQUARE-GMU,
WATERFRONT,
WEST FALLS CHURCH-VT/UVA,
WEST HYATTSVILLE,124.0
WHEATON,52.5
WHITE FLINT,101.0
WIEHLE-RESTON EAST,
WOODLEY PARK-ZOO/ADAMS MORGAN,
Washington Dulles International Airport,
