Name_1,CAPACITY_p5
ANACOSTIA,30
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,324
BALLSTON-MU,133
BENNING ROAD,19
BETHESDA,90
BRADDOCK ROAD,96
BROOKLAND-CUA,94
CAPITOL HEIGHTS,38
CAPITOL SOUTH,137
CLARENDON,101
CLEVELAND PARK,41
COLUMBIA HEIGHTS,288
CONGRESS HEIGHTS,34
COURT HOUSE,207
CRYSTAL CITY,99
DEANWOOD,15
DUNN LORING-MERRIFIELD,30
DUPONT CIRCLE,338
EAST FALLS CHURCH,34
EASTERN MARKET,166
EISENHOWER AVENUE,27
FARRAGUT NORTH,450
FARRAGUT WEST,508
FEDERAL CENTER SW,173
FEDERAL TRIANGLE,278
FOGGY BOTTOM-GWU,333
FORT TOTTEN,19
FRIENDSHIP HEIGHTS,72
GALLERY PL-CHINATOWN,496
GEORGIA AVE-PETWORTH,110
GREENSBORO,50
JUDICIARY SQUARE,357
KING ST-OLD TOWN,118
L'ENFANT PLAZA,286
LARGO TOWN CENTER,17
MCLEAN,19
MCPHERSON SQUARE,582
MEDICAL CENTER,19
METRO CENTER,566
MINNESOTA AVE,56
MT VERNON SQ 7TH ST-CONVENTION CENTER,262
NAVY YARD-BALLPARK,255
NOMA-GALLAUDET,249
PENTAGON,15
PENTAGON CITY,94
POTOMAC AVE,68
PRINCE GEORGE'S PLAZA,34
RHODE ISLAND AVE-BRENTWOOD,72
ROCKVILLE,62
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,19
ROSSLYN,153
Reston Town Center,81
SHADY GROVE,60
SHAW-HOWARD U,228
SILVER SPRING,109
SMITHSONIAN,192
SOUTHERN AVENUE,15
SPRING HILL,26
STADIUM-ARMORY,60
TAKOMA,53
TENLEYTOWN-AU,89
TWINBROOK,29
TYSONS CORNER,44
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,274
UNION STATION,261
VAN DORN STREET,19
VAN NESS-UDC,49
VIENNA/FAIRFAX-GMU,30
VIRGINIA SQUARE-GMU,87
WATERFRONT,139
WEST FALLS CHURCH-VT/UVA,19
WEST HYATTSVILLE,17
WHEATON,64
WHITE FLINT,71
WIEHLE-RESTON EAST,41
WOODLEY PARK-ZOO/ADAMS MORGAN,80
