,Name_1,convenience_storecount_p75
0,ANACOSTIA,7
1,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,8
2,ARLINGTON CEMETERY,1
3,BALLSTON-MU,6
4,BENNING ROAD,6
5,BETHESDA,4
6,BRADDOCK ROAD,4
7,BROOKLAND-CUA,4
8,CAPITOL HEIGHTS,1
9,CAPITOL SOUTH,7
10,CLARENDON,6
11,CLEVELAND PARK,1
12,COLLEGE PARK-U OF MD,3
13,COLUMBIA HEIGHTS,35
14,CONGRESS HEIGHTS,2
15,COURT HOUSE,5
16,CRYSTAL CITY,6
17,DEANWOOD,2
18,DUNN LORING-MERRIFIELD,2
19,DUPONT CIRCLE,16
20,EASTERN MARKET,11
21,EISENHOWER AVENUE,5
22,FARRAGUT NORTH,14
23,FARRAGUT WEST,14
24,FEDERAL CENTER SW,1
25,FEDERAL TRIANGLE,8
26,FOGGY BOTTOM-GWU,8
27,FORT TOTTEN,3
28,FRIENDSHIP HEIGHTS,3
29,GALLERY PL-CHINATOWN,14
30,GEORGIA AVE-PETWORTH,30
31,GLENMONT,1
32,GREENSBORO,2
33,HUNTINGTON,7
34,Innovation Center,2
35,JUDICIARY SQUARE,11
36,KING ST-OLD TOWN,5
37,L'ENFANT PLAZA,2
38,MCLEAN,1
39,MCPHERSON SQUARE,14
40,MEDICAL CENTER,5
41,METRO CENTER,12
42,MINNESOTA AVE,6
43,MT VERNON SQ 7TH ST-CONVENTION CENTER,25
44,NAVY YARD-BALLPARK,7
45,NAYLOR ROAD,2
46,NEW CARROLLTON,2
47,NOMA-GALLAUDET,12
48,PENTAGON,1
49,PENTAGON CITY,2
50,POTOMAC AVE,11
51,RHODE ISLAND AVE-BRENTWOOD,7
52,ROCKVILLE,2
53,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,6
54,ROSSLYN,3
55,Reston Town Center,3
56,SHAW-HOWARD U,25
57,SILVER SPRING,7
58,SMITHSONIAN,3
59,SOUTHERN AVENUE,1
60,SPRING HILL,1
61,STADIUM-ARMORY,8
62,SUITLAND,1
63,TAKOMA,8
64,TENLEYTOWN-AU,3
65,TWINBROOK,3
66,TYSONS CORNER,5
67,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,26
68,UNION STATION,14
69,VAN DORN STREET,1
70,VAN NESS-UDC,2
71,VIRGINIA SQUARE-GMU,6
72,WATERFRONT,3
73,WHEATON,2
74,WHITE FLINT,1
75,WOODLEY PARK-ZOO/ADAMS MORGAN,8
76,Washington Dulles International Airport,3
