,Name_1,TotalUnits_p75
0,ADDISON ROAD-SEAT PLEASANT,469
1,ANACOSTIA,4013
2,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,1111
3,ARLINGTON CEMETERY,134
4,BALLSTON-MU,618
5,BENNING ROAD,3490
6,BETHESDA,1130
7,BRADDOCK ROAD,574
8,BRANCH AVE,591
9,BROOKLAND-CUA,1513
10,CAPITOL HEIGHTS,865
11,CAPITOL SOUTH,876
12,CLARENDON,851
13,CLEVELAND PARK,355
14,COLLEGE PARK-U OF MD,674
15,COLUMBIA HEIGHTS,3596
16,CONGRESS HEIGHTS,4648
17,COURT HOUSE,1614
18,CRYSTAL CITY,302
19,DEANWOOD,3783
20,DUNN LORING-MERRIFIELD,200
21,DUPONT CIRCLE,1513
22,EAST FALLS CHURCH,159
23,EASTERN MARKET,470
24,EISENHOWER AVENUE,62
25,FARRAGUT NORTH,1110
26,FARRAGUT WEST,302
27,FEDERAL CENTER SW,648
28,FEDERAL TRIANGLE,906
29,FOGGY BOTTOM-GWU,195
30,FOREST GLEN,403
31,FORT TOTTEN,266
32,FRANCONIA-SPRINGFIELD,347
33,FRIENDSHIP HEIGHTS,340
34,GALLERY PL-CHINATOWN,1946
35,GEORGIA AVE-PETWORTH,2708
36,GREENBELT,9
37,GREENSBORO,110
38,GROSVENOR-STRATHMORE,149
39,HUNTINGTON,8
40,Herndon,316
41,Innovation Center,206
42,JUDICIARY SQUARE,1864
43,KING ST-OLD TOWN,487
44,L'ENFANT PLAZA,862
45,LANDOVER,409
46,LARGO TOWN CENTER,480
47,MCLEAN,80
48,MCPHERSON SQUARE,1681
49,MEDICAL CENTER,221
50,METRO CENTER,1946
51,MINNESOTA AVE,3292
52,MT VERNON SQ 7TH ST-CONVENTION CENTER,3631
53,NAVY YARD-BALLPARK,2476
54,NAYLOR ROAD,1178
55,NOMA-GALLAUDET,1386
56,PENTAGON,302
57,PENTAGON CITY,409
58,POTOMAC AVE,1465
59,RHODE ISLAND AVE-BRENTWOOD,1989
60,ROCKVILLE,820
61,ROSSLYN,1142
62,Reston Town Center,418
63,SHADY GROVE,268
64,SHAW-HOWARD U,3770
65,SILVER SPRING,1934
66,SMITHSONIAN,862
67,SOUTHERN AVENUE,3767
68,SPRING HILL,283
69,STADIUM-ARMORY,1916
70,SUITLAND,89
71,TAKOMA,1003
72,TENLEYTOWN-AU,195
73,TWINBROOK,565
74,TYSONS CORNER,190
75,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,4170
76,UNION STATION,1501
77,VAN DORN STREET,338
78,VIENNA/FAIRFAX-GMU,46
79,VIRGINIA SQUARE-GMU,369
80,WATERFRONT,1916
81,WEST FALLS CHURCH-VT/UVA,1
82,WEST HYATTSVILLE,1062
83,WHEATON,329
84,WHITE FLINT,999
85,WIEHLE-RESTON EAST,104
86,WOODLEY PARK-ZOO/ADAMS MORGAN,376
