"term","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",2.34137607201961,0.533247548672133,119.012930562979,4.39078637651498,2.46157002504516e-05
"log_peak_fare_per_mile",-0.737714914173645,0.0374367071285742,5865.77448783559,-19.7056571145535,9.39095033058238e-84
"log_new_auto_tt_per_mile2",0.197559356221047,0.0454135877230898,5842.98956400358,4.35022569513047,1.38312224650412e-05
"log_bus_tt_per_mile",0.0384617028850724,0.00913881185272216,5901.49215339792,4.20861086812023,2.60759111274271e-05
"log_parking_user",0.142156892910706,0.00498759354363673,5856.17052594172,28.5021005956014,1.90874876831858e-167
"log_All_Jobs_O",0.0579800843586376,0.0274869352744502,74.4658716531413,2.10936882485155,0.0382741561339766
"log_bus_line_count_O",0.176754256351857,0.0504952473425198,75.1026824272936,3.50041371523336,0.000785174771336695
"log_proportionhouses_D",0.222771889349342,0.0595638339055316,75.7779599963535,3.74005289355046,0.000355355911664739
"log_bus_line_count_D",0.0958228494940764,0.0383843782302527,76.2582310074979,2.49640228426453,0.0147042654224745
"terminal_dummy_2023_O",-0.184369142455655,0.290311828698625,75.0105381286907,-0.635072788050433,0.52731346416333
"terminal_dummy_2023_D",0.618471945505109,0.220898897555267,76.3711381769051,2.79979643334513,0.00647241396635059
